,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,cluster
1970-01-01 00:00:00.000000000,-0.01,-0.01,1.01917808219,0.0,0.0,0.0,4.75266705747e-20,0.00342465753425,0.155616438356,1008.60054795,1.02575342466,-17.6531506849,-27.758630137,183.23,0.44,-0.62,46.36,1,0,0,0,0,2
1970-01-01 00:00:00.000000000,-0.01,-0.00904109589041,1.02,0.0,0.0,0.0,0.0027397260274,0.00479452054795,0.159589041096,1008.6,1.16219178082,-17.7246575342,-28.2221917808,183.23,0.44,-0.62,62.584109589,1,0,0,0,0,2
1970-01-01 00:00:00.000000000,-0.01,-0.01,1.01933333333,0.0,0.0,0.0,0.0052,0.000133333333333,0.1572,1008.60386667,0.7704,-17.9072,-27.7368,183.23,0.44,-0.62,72.216,1,0,0,0,0,2
1970-01-01 00:00:00.000000000,-0.01,-0.01,1.01767123288,0.0,0.0,0.0,0.0027397260274,0.00479452054795,0.151232876712,1008.59972603,1.46136986301,-18.0369863014,-27.8367123288,183.23,0.44,-0.62,75.6509589041,1,0,0,0,0,2
1970-01-01 00:00:00.000000001,-0.01,-0.01,1.02,0.0,0.0,0.0,0.0,0.00333333333333,0.157222222222,1008.61388889,1.06416666667,-17.9958333333,-27.9158333333,183.23,0.44,-0.62,75.1133333333,1,0,0,0,0,2
1970-01-01 00:00:00.000000001,-0.01,-0.01,1.02,0.0,0.0,0.0,-0.000675675675676,0.00391891891892,0.157027027027,1008.61351351,1.26648648649,-18.0243243243,-27.9372972973,183.23,0.44,-0.62,73.78,1,0,0,0,0,2
1970-01-01 00:00:00.000000001,-0.01,-0.01,1.01888888889,0.0,0.0,0.0,-9.63735264432e-20,0.000277777777778,0.155416666667,1008.62,1.21,-17.9558333333,-27.4833333333,183.23,0.44,-0.62,75.6855555556,1,0,0,0,0,2
1970-01-01 00:00:00.000000001,-0.01,-0.01,1.01929577465,0.0,0.0,0.0,0.00169014084507,0.00464788732394,0.153098591549,1008.62,0.940563380282,-17.7633802817,-27.796056338,183.23,0.44,-0.62,76.5163380282,1,0,0,0,0,2
1970-01-01 00:00:00.000000002,-0.01,-0.01,1.01907894737,0.0,0.0,0.0,-0.00447368421053,0.00381578947368,0.158552631579,1008.61473684,1.16052631579,-18.0205263158,-27.6513157895,183.23,0.44,-0.62,77.3032894737,1,0,0,0,0,2
1970-01-01 00:00:00.000000002,-0.01,-0.01,1.01891891892,0.0,0.0,0.0,-0.00418918918919,-0.00648648648649,0.150810810811,1008.60256757,1.49027027027,-18.0,-27.8991891892,183.23,0.44,-0.62,77.542027027,1,0,0,0,0,2
1970-01-01 00:00:00.000000002,-0.01,-0.01,1.01712328767,0.0,0.0,0.0,-0.00684931506849,-0.0013698630137,0.151506849315,1008.59041096,1.48849315068,-17.8660273973,-27.6904109589,183.23,0.44,-0.62,76.7701369863,1,0,0,0,0,2
1970-01-01 00:00:00.000000002,-0.01,-0.01,1.01819444444,0.0,0.0,0.0,-0.000416666666667,0.000694444444444,0.148333333333,1008.59319444,1.18666666667,-17.7075,-27.4008333333,183.23,0.44,-0.62,75.4219444444,1,0,0,0,0,2
1970-01-01 00:00:00.000000003,-0.01,-0.01,1.02,0.0,0.0,0.0,-0.00138461538462,0.00430769230769,0.148,1008.60538462,1.41230769231,-17.8929230769,-27.5049230769,183.23,0.44,-0.62,75.56,1,0,0,0,0,2
1970-01-01 00:00:00.000000003,-0.01,-0.01,1.01761904762,0.0,0.0,0.0,-0.00492063492063,0.00238095238095,0.149206349206,1008.61,1.4180952381,-17.8533333333,-27.8457142857,183.23,0.44,-0.62,74.9447619048,1,0,0,0,0,2
1970-01-01 00:00:00.000000003,-0.01,-0.01,1.02,0.0,0.0,0.0,-0.000294117647059,-0.00514705882353,0.158088235294,1008.61235294,1.05264705882,-18.2197058824,-27.0979411765,183.23,0.44,-0.62,74.5769117647,1,0,0,0,0,2
1970-01-01 00:00:00.000000003,-0.01,-0.01,1.01630769231,0.0,0.0,0.0,-0.000615384615385,-0.00430769230769,0.144769230769,1008.6,1.97907692308,-18.2353846154,-28.3033846154,183.23,0.44,-0.62,74.358,1,0,0,0,0,2
1970-01-01 00:00:00.000000004,-0.01,-0.01,1.01422535211,0.0,0.0,0.0,-0.00887323943662,-0.0030985915493,0.143098591549,1008.59746479,1.75352112676,-18.0870422535,-28.2422535211,183.23,0.44,-0.62,74.0902816901,1,0,0,0,0,2
1970-01-01 00:00:00.000000004,-0.01,-0.01,1.01875,0.0,0.0,0.0,-0.000416666666667,-1.92747052886e-19,0.147222222222,1008.60666667,1.21666666667,-18.005,-27.44,183.23,0.44,-0.62,73.44,1,0,0,0,0,2
1970-01-01 00:00:00.000000004,-0.01,-0.01,1.01743243243,0.0,0.0,0.0,-0.0027027027027,-0.00256756756757,0.148648648649,1008.6,0.856216216216,-17.9675675676,-27.2894594595,183.23,0.44,-0.62,73.9751351351,1,0,0,0,0,2
1970-01-01 00:00:00.000000004,-0.01,-0.01,1.01718309859,0.0,0.0,0.0,-0.00295774647887,0.0012676056338,0.152394366197,1008.60394366,1.23126760563,-18.0692957746,-27.3152112676,183.23,0.44,-0.62,73.9452112676,1,0,0,0,0,2
1970-01-01 00:00:00.000000005,-0.01,-0.01,1.0175,0.0,0.0,0.0,-0.00263157894737,0.00434210526316,0.148947368421,1008.59486842,1.40526315789,-17.97,-27.3844736842,183.23,0.44,-0.62,73.9623684211,1,0,0,0,0,2
1970-01-01 00:00:00.000000005,-0.01,-0.01,1.01876712329,0.0,0.0,0.0,-0.0058904109589,-0.00041095890411,0.151506849315,1008.59,1.30356164384,-17.8183561644,-27.938630137,183.23,0.44,-0.62,73.8012328767,1,0,0,0,0,2
1970-01-01 00:00:00.000000005,-0.01,-0.01,1.01608108108,0.0,0.0,0.0,0.000675675675676,-0.00202702702703,0.144864864865,1008.58716216,1.03945945946,-17.7689189189,-27.0932432432,183.23,0.44,-0.62,73.5262162162,1,0,0,0,0,2
